,город,Субъект,2018,размер,Численность населения,Площадь
1,Москва,г.Москва,"81,19",крупнейшие,,
2,Казань,Республика Татарстан,"52,58",крупнейшие,,
3,Санкт-Петербург,г.Санкт-Петербург,"50,37",крупнейшие,,
4,Нижний Новгород,Нижегородская область,"46,5",крупнейшие,,
5,Уфа,Республика Башкортостан,"42,05",крупнейшие,,
6,Пермь,Пермский край,"39,77",крупнейшие,,
7,Ростов-на-Дону,Ростовская область,"36,09",крупнейшие,,
8,Новосибирск,Новосибирская область,"33,31",крупнейшие,,
9,Самара,Самарская область,"30,33",крупнейшие,,
10,Омск,Омская область,"28,58",крупнейшие,,
11,Красноярск,Красноярский край,"26,88",крупнейшие,,
12,Волгоград,Волгоградская область,"25,38",крупнейшие,,
13,Воронеж,Воронежская область,"22,48",крупнейшие,,
14,Челябинск,Челябинская область,"21,05",крупнейшие,,
15,Екатеринбург,Свердловская область,"17,35",крупнейшие,,
16,Химки,Московская область,"66,32",крупные,,
17,Балашиха,Московская область,"59,38",крупные,,
18,Тюмень,Тюменская область,"58,31",крупные,,
19,Подольск,Московская область,"56,6",крупные,,
20,Ставрополь,Ставропольский край,"45,69",крупные,,
21,Калининград,Калининградская область,"44,5",крупные,,
22,Брянск,Брянская область,"44,48",крупные,,
23,Белгород,Белгородская область,"44,29",крупные,,
24,Оренбург,Оренбургская область,"43,22",крупные,,
25,Грозный,Чеченская Республика,"42,53",крупные,,
26,Иваново,Ивановская область,"42,36",крупные,,
27,Барнаул,Алтайский край,"41,82",крупные,,
28,Якутск,Республика Саха (Якутия),"41,75",крупные,,
29,Нижний Тагил,Свердловская область,"41,19",крупные,,
30,Липецк,Липецкая область,41,крупные,,
31,Тверь,Тверская область,41,крупные,,
32,Тамбов,Тамбовская область,"40,53",крупные,,
33,Пенза,Пензенская область,"40,22",крупные,,
34,Сургут,Тюменская область,"40,18",крупные,,
35,Чебоксары,Чувашская Республика,"39,79",крупные,,
36,Стерлитамак,Республика Башкортостан,"39,58",крупные,,
37,Хабаровск,Хабаровский край,"38,99",крупные,,
38,Калуга,Калужская область,"38,14",крупные,,
39,Набережные Челны,Республика Татарстан,"36,75",крупные,,
40,Волжский,Волгоградская область,"35,12",крупные,,
41,Тула,Тульская область,"34,63",крупные,,
42,Саранск,Республика Мордовия,"33,42",крупные,,
43,Архангельск,Архангельская область,"33,34",крупные,,
44,Курск,Курская область,"33,27",крупные,,
45,Севастополь,г. Севастополь,"33,05",крупные,,
46,Ижевск,Удмуртская Республика,33,крупные,,
47,Саратов,Саратовская область,"32,67",крупные,,
48,Кострома,Костромская область,"32,51",крупные,,
49,Смоленск,Смоленская область,"32,5",крупные,,
50,Симферополь,Республика Крым,"32,25",крупные,,
51,Вологда,Вологодская область,"31,25",крупные,,
52,Нижневартовск,Тюменская область,"30,8",крупные,,
53,Киров,Кировская область,"30,5",крупные,,
54,Мурманск,Мурманская область,30,крупные,,
55,Кемерово,Кемеровская область,"29,71",крупные,,
56,Петрозаводск,Республика Карелия,"29,39",крупные,,
57,Ульяновск,Ульяновская область,"29,29",крупные,,
58,Ярославль,Ярославская область,"28,06",крупные,,
59,Улан-Удэ,Республика Бурятия,"28,04",крупные,,
60,Череповец,Вологодская область,"26,75",крупные,,
61,Тольятти,Самарская область,"26,23",крупные,,
62,Сочи,Краснодарский край,"25,75",крупные,,
63,Чита,Забайкальский край,"25,38",крупные,,
64,Владивосток,Приморский край,"25,31",крупные,,
65,Рязань,Рязанская область,"25,17",крупные,,
66,Орёл,Орловская область,25,крупные,,
67,Новокузнецк,Кемеровская область,"24,88",крупные,,
68,Йошкар-Ола,Республика Марий Эл,"24,81",крупные,,
69,Магнитогорск,Челябинская область,"24,75",крупные,,
70,Махачкала,Республика Дагестан,"24,42",крупные,,
71,Владикавказ,Республика Северная Осетия - Алания,"24,25",крупные,,
72,Владимир,Владимирская область,"23,75",крупные,,
73,Новороссийск,Краснодарский край,"23,68",крупные,,
74,Томск,Томская область,"22,1",крупные,,
75,Курган,Курганская область,"21,38",крупные,,
76,Краснодар,Краснодарский край,"19,58",крупные,,
77,Иркутск,Иркутская область,"17,44",крупные,,
78,Астрахань,Астраханская область,"16,22",крупные,,
79,Реутов,Московская область,"71,35",большие,,
80,Серпухов,Московская область,"63,5",большие,,
81,Электросталь,Московская область,"61,88",большие,,
82,Домодедово,Московская область,"60,58",большие,,
83,Орехово-Зуево,Московская область,"60,15",большие,,
84,Красногорск,Московская область,"59,64",большие,,
85,Долгопрудный,Московская область,"58,72",большие,,
86,Королёв,Московская область,"58,23",большие,,
87,Жуковский,Московская область,"57,15",большие,,
88,Люберцы,Московская область,"56,17",большие,,
89,Одинцово,Московская область,"55,17",большие,,
90,Сергиев Посад,Московская область,"54,55",большие,,
91,Щёлково,Московская область,"53,42",большие,,
92,Раменское,Московская область,"52,46",большие,,
93,Пушкино,Московская область,"52,15",большие,,
94,Ангарск,Иркутская область,51,большие,,
95,Нижнекамск,Республика Татарстан,"46,55",большие,,
96,Рыбинск,Ярославская область,"41,31",большие,,
97,Мытищи,Московская область,"41,12",большие,,
98,Благовещенск,Амурская область,"40,12",большие,,
99,Северск,Омская область,40,большие,,
100,Коломна,Московская область,"39,38",большие,,
101,Батайск,Ростовская область,"37,74",большие,,
102,Новокуйбышевск,Самарская область,"37,25",большие,,
103,Старый Оскол,Белгородская область,"36,98",большие,,
104,Балаково,Саратовская область,"36,13",большие,,
105,Альметьевск,Республика Татарстан,"35,25",большие,,
106,Южно-Сахалинск,Сахалинская область,"35,19",большие,,
107,Абакан,Республика Хакасия,"34,75",большие,,
108,Елец,Липецкая область,"34,25",большие,,
109,Бийск,Алтайский край,"34,17",большие,,
110,Псков,Псковская область,"34,13",большие,,
111,Великий Новгород,Новгородская область,"33,83",большие,,
112,Сызрань,Самарская область,"33,76",большие,,
113,Новочеркасск,Ростовская область,"33,66",большие,,
114,Ногинск,Московская область,"33,39",большие,,
115,Рубцовск,Алтайский край,"33,25",большие,,
116,Комсомольск-на-Амуре,Хабаровский край,"33,21",большие,,
117,Златоуст,Челябинская область,"33,13",большие,,
118,Димитровград,Ульяновская область,"33,08",большие,,
119,Ковров,Владимирская область,"32,94",большие,,
120,Энгельс,Саратовская область,"32,5",большие,,
121,Железногорск,Курская область,"32,25",большие,,
122,Волгодонск,Ростовская область,"31,5",большие,,
123,Нефтеюганск,Тюменская область,"31,42",большие,,
124,Новомосковск,Московская область,"31,38",большие,,
125,Камышин,Волгоградская область,"30,5",большие,,
126,Обнинск,Калужская область,"30,06",большие,,
127,Березники,Пермский край,"29,42",большие,,
128,Ноябрьск,Тюменская область,"28,85",большие,,
129,Бердск,Новосибирская область,"28,5",большие,,
130,Сыктывкар,Республика Коми,"28,34",большие,,
131,Нальчик,Кабардино-Балкарская Республика,28,большие,,
132,Армавир,Краснодарский край,28,большие,,
133,Ессентуки,Ставропольский край,"27,75",большие,,
134,Уссурийск,Приморский край,"27,75",большие,,
135,Новошахтинск,Ростовская область,"27,75",большие,,
136,Новочебоксарск,Чувашская Республика,"26,8",большие,,
137,Новый Уренгой,Тюменская область,26,большие,,
138,Шахты,Ростовская область,"25,6",большие,,
139,Невинномысск,Ставропольский край,"25,25",большие,,
140,Арзамас,Нижегородская область,25,большие,,
141,Орск,Оренбургская область,"24,47",большие,,
142,Хасавюрт,Республика Дагестан,"24,25",большие,,
143,Нефтекамск,Республика Башкортостан,"24,13",большие,,
144,Петропавловск-Камчатский,Камчатский край,"23,84",большие,,
145,Октябрьский,Республика Башкортостан,"23,5",большие,,
146,Каспийск,Республика Дагестан,22,большие,,
147,Муром,Владимирская область,22,большие,,
148,Миасс,Челябинская область,"21,76",большие,,
149,Пятигорск,Ставропольский край,"20,75",большие,,
150,Дзержинск,Нижегородская область,"20,63",большие,,
151,Черкесск,Карачаево-Черкесская Республика,"20,5",большие,,
152,Элиста,Республика Калмыкия,"20,5",большие,,
153,Евпатория,Республика Крым,"20,25",большие,,
154,Прокопьевск,Кемеровская область,"19,75",большие,,
155,Керчь,Республика Крым,"19,69",большие,,
156,Каменск-Уральский,Свердловская область,"19,67",большие,,
157,Кызыл,Республика Тыва,"19,5",большие,,
158,Артём,Приморский край,19,большие,,
159,Копейск,Челябинская область,"17,88",большие,,
160,Кисловодск,Ставропольский край,"17,25",большие,,
161,Северодвинск,Архангельская область,17,большие,,
162,Первоуральск,Свердловская область,"16,29",большие,,
163,Братск,Иркутская область,"15,38",большие,,
164,Назрань,Республика Ингушетия,"12,75",большие,,
165,Норильск,Красноярский край,"12,75",большие,,
166,Находка,Приморский край,"12,75",большие,,
167,Таганрог,Ростовская область,"12,25",большие,,
168,Ачинск,Красноярский край,"11,5",большие,,
169,Дербент,Республика Дагестан,11,большие,,
170,Салават,Республика Башкортостан,"10,75",большие,,
171,Майкоп,Республика Адыгея,"10,5",большие,,
172,Дубна,Московская область,"72,48",админ центры,,
173,Ивантеевка,Московская область,"62,18",админ центры,,
174,Наро-Фоминск,Московская область,"41,02",админ центры,,
175,Гатчина,Ленинградская область,"39,19",админ центры,,
176,Елабуга,Республика Татарстан,"38,04",админ центры,,
177,Ханты-Мансийск,Тюменская область,"37,88",админ центры,,
178,Саров,Нижегородская область,"36,13",админ центры,,
179,Сосновый бор,Ленинградская область,32,админ центры,,
180,Ялта,Республика Крым,"31,75",админ центры,,
181,Анадырь,Чукотский автономный округ,"29,75",админ центры,,
182,Горно-Алтайск,Республика Алтай,"28,64",админ центры,,
183,Чайковский,Пермский край,"26,42",админ центры,,
184,Магас,Республика Ингушетия,"26,25",админ центры,,
185,Соликамск,Пермский край,"23,53",админ центры,,
186,Биробиджан,Еврейская автономная область,"21,63",админ центры,,
187,Сатка,Челябинская область,"21,11",админ центры,,
188,Междуреченск,Кемеровская область,"15,5",админ центры,,
189,Магадан,Магаданская область,"14,4",админ центры,,
190,Снежинск,Челябинская область,"13,79",админ центры,,
191,Нарьян-Мар,Архангельская область,7,админ центры,,